Season,Week,PID,Player,Pos,Team,Opp,FFPts,FFPtsPPR,Pass Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,XP,FG,Grade,FantasyAces(Projected points),FantasyAces(Price),DraftDay(Projected points),DraftDay(Price),DraftKings(Projected points),DraftKings(Price),FanDuel(Projected points),FanDuel(Price),FantasyFeud(Projected points),FantasyFeud(Price)
2015,1,crosbm1,Mason Crosby,K,GB,@CHI,9.2,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.0,A-Game,,,,,,,9.2,5100.0,,
2015,1,bailed1,Dan Bailey,K,DAL,NYG,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.0,A-Game,,,,,,,9.0,5000.0,,
2015,1,gostks1,Stephen Gostkowski,K,NE,PIT,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,A-Game,,,,,,,9.0,5200.0,,
2015,1,parkec1,Cody Parkey,K,PHI,@ATL,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,A-Game,,,,,,,9.0,5000.0,,
2015,1,bryanm1,Matt Bryant,K,ATL,PHI,8.7,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.9,A-Game,,,,,,,8.7,5000.0,,
2015,1,vinata1,Adam Vinatieri,K,IND,@BUF,8.4,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.9,A-Game,,,,,,,8.4,5000.0,,
2015,1,catanc1,Chandler Catanzaro,K,ARI,NO,8.3,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.8,A-Game,,,,,,,8.3,4700.0,,
2015,1,hauscs1,Steven Hauschka,K,SEA,@STL,8.2,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.9,A-Game,,,,,,,8.2,5100.0,,
2015,1,tuckej1,Justin Tucker,K,BAL,@DEN,8.1,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.8,A-Game,,,,,,,8.1,5200.0,,
2015,1,nugenm1,Mike Nugent,K,CIN,@OAK,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.8,A-Game,,,,,,,8.0,4800.0,,
2015,1,mcmanb1,Brandon McManus,K,DEN,BAL,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.6,A-Game,,,,,,,8.0,4500.0,,
2015,1,ganog1,Graham Gano,K,CAR,@JAX,7.9,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.8,A-Game,,,,,,,7.9,4600.0,,
2015,1,pratem1,Matt Prater,K,DET,@SD,7.9,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.8,A-Game,,,,,,,7.9,4700.0,,
2015,1,franka1,Andrew Franks,K,MIA,@WAS,7.9,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.8,A-Game,,,,,,,7.9,4500.0,,
2015,1,walshb1,Blair Walsh,K,MIN,@SF,7.8,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.9,B-Game,,,,,,,7.8,4700.0,,
2015,1,scobej2,Josh Scobee,K,PIT,@NE,7.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.8,B-Game,,,,,,,7.7,4600.0,,
2015,1,folkn1,Nick Folk,K,NYJ,CLE,7.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.8,B-Game,,,,,,,7.7,4600.0,,
2015,1,carped2,Dan Carpenter,K,BUF,IND,7.6,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.7,B-Game,,,,,,,7.6,4800.0,,
2015,1,hockez1,Zach Hocker,K,NO,@ARI,7.6,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.7,B-Game,,,,,,,7.6,4500.0,,
2015,1,brindk1,Kyle Brindza,K,TB,TEN,7.6,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.7,B-Game,,,,,,,7.6,4500.0,,
2015,1,lamboj1,Josh Lambo,K,SD,DET,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.6,B-Game,,,,,,,7.5,4500.0,,
2015,1,brownj1,Josh Brown,K,NYG,@DAL,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.7,B-Game,,,,,,,7.5,4500.0,,
2015,1,gouldr1,Robbie Gould,K,CHI,GB,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.7,B-Game,,,,,,,7.5,4800.0,,
2015,1,bullor1,Randy Bullock,K,HOU,KC,7.3,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.7,B-Game,,,,,,,7.3,4800.0,,
2015,1,dawsop1,Phil Dawson,K,SF,MIN,7.3,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.7,B-Game,,,,,,,7.3,5000.0,,
2015,1,forbak1,Kai Forbath,K,WAS,MIA,7.2,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.6,B-Game,,,,,,,7.2,4600.0,,
2015,1,janiks1,Sebastian Janikowski,K,OAK,CIN,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.6,B-Game,,,,,,,7.0,4700.0,,
2015,1,santoc1,Cairo Santos,K,KC,@HOU,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.6,B-Game,,,,,,,7.0,4800.0,,
