Season,Week,PID,Player,Pos,Team,Opp,FFPts,FFPtsPPR,Pass Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,XP,FG,Grade
2015,2,vinata1,Adam Vinatieri,K,IND,NYJ,9.2,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.1,A-Game
2015,2,parkec1,Cody Parkey,K,PHI,DAL,8.9,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,1.8,A-Game
2015,2,bailed1,Dan Bailey,K,DAL,@PHI,8.7,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.0,A-Game
2015,2,tuckej1,Justin Tucker,K,BAL,@OAK,8.7,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.0,A-Game
2015,2,crosbm1,Mason Crosby,K,GB,SEA,8.6,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.9,A-Game
2015,2,gostks1,Stephen Gostkowski,K,NE,@BUF,8.6,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.0,A-Game
2015,2,catanc1,Chandler Catanzaro,K,ARI,@CHI,8.6,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.0,A-Game
2015,2,bryanm1,Matt Bryant,K,ATL,@NYG,8.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.9,A-Game
2015,2,hockez1,Zach Hocker,K,NO,TB,8.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.8,A-Game
2015,2,brownj1,Josh Brown,K,NYG,ATL,8.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.8,A-Game
2015,2,scobej2,Josh Scobee,K,PIT,SF,8.4,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.9,A-Game
2015,2,mcmanb1,Brandon McManus,K,DEN,@KC,8.4,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,A-Game
2015,2,hauscs1,Steven Hauschka,K,SEA,@GB,8.3,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.9,A-Game
2015,2,nugenm1,Mike Nugent,K,CIN,SD,8.2,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.8,A-Game
2015,2,walshb1,Blair Walsh,K,MIN,DET,8.1,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.9,A-Game
2015,2,franka1,Andrew Franks,K,MIA,@JAX,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.8,A-Game
2015,2,carped2,Dan Carpenter,K,BUF,NE,7.9,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.8,A-Game
2015,2,lamboj1,Josh Lambo,K,SD,@CIN,7.8,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.8,A-Game
2015,2,pratem1,Matt Prater,K,DET,@MIN,7.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.8,B-Game
2015,2,santoc1,Cairo Santos,K,KC,DEN,7.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.7,B-Game
2015,2,zuerlg1,Greg Zuerlein,K,STL,@WAS,7.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.7,B-Game
2015,2,gouldr1,Robbie Gould,K,CHI,ARI,7.6,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.8,B-Game
